Delete,Identifying Number,Title,Description,Website,Directions,Category,Subcategory,Order,Freeform Address,Phone Number,Street1,Street2,Zipcode,Neighborhood,City,State,Country,Latitude,Longitude,Photo Url,Photo Width,Photo Height,Photo Title,Photo Description,Link
,1096322,"YOUGHIOGHENY RIVER NEAR OAKLAND, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.421583,-79.423639,,,,,,http://www.communitywalk.com/map/143898#00044;Z2
,1096323,"INDIAN RIVER BAY INLET NEAR BETHANY BEACH, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.609833,-75.068,,,,,,http://www.communitywalk.com/map/143898#00044;Z3
,1096324,"WINTERS RUN NEAR BENSON, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.519944,-76.372972,,,,,,http://www.communitywalk.com/map/143898#00044;Z4
,1096325,"JONES FALLS AT SORRENTO, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.391722,-76.660944,,,,,,http://www.communitywalk.com/map/143898#00044;Z5
,1096326,"BEAVERDAM DITCH NEAR MILLVILLE, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.521444,-75.133389,,,,,,http://www.communitywalk.com/map/143898#00044;Z6
,1096327,"NORTH BRANCH POTOMAC RIVER AT PINTO, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.566806,-78.839556,,,,,,http://www.communitywalk.com/map/143898#00044;Z7
,1096328,"SAWMILL CREEK AT GLEN BURNIE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.17,-76.630611,,,,,,http://www.communitywalk.com/map/143898#00044;Z8
,1096329,"YOUGHIOGHENY RIVER AT FRIENDSVILLE, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.653611,-79.408306,,,,,,http://www.communitywalk.com/map/143898#00044;Z9
,1096330,"SOUTH FORK JABEZ BRANCH AT MILLERSVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.06825,-76.651528,,,,,,http://www.communitywalk.com/map/143898#00044;Z:
,1096331,"PLUMTREE RUN NEAR BEL AIR, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.496497,-76.34746,,,,,,http://www.communitywalk.com/map/143898#00044;Z;
,1096332,"Wills Creek below Hyndman, PA",,,FALSE,Other Streams,,,,,,,,,,,,39.812029,-78.716407,,,,,,http://www.communitywalk.com/map/143898#00044;Z<
,1096333,"JEFFERSON CREEK AT SOUTH BETHANY, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.513556,-75.062333,,,,,,http://www.communitywalk.com/map/143898#00044;Z=
,1096334,"PATUXENT RIVER NEAR UNITY, MD",,,FALSE,Target Streams,,,,,,,,,,,,39.23825,-77.055722,,,,,,http://www.communitywalk.com/map/143898#00044;Zq
,1096335,"WILLS CREEK NEAR CUMBERLAND, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.669611,-78.788028,,,,,,http://www.communitywalk.com/map/143898#00044;Zp
,1096336,"CATOCTIN CREEK AT TAYLORSTOWN, VA",,,FALSE,Other Streams,,,,,,,,,,,,39.254547,-77.576378,,,,,,http://www.communitywalk.com/map/143898#00044;Z@
,1096337,"LITTLE ASSAWOMAN BAY AT FENWICK ISLAND, DE",,,FALSE,Other Streams,,,,,,,,,,,,38.454972,-75.058333,,,,,,http://www.communitywalk.com/map/143898#00044;ZA
,1096338,"OTTER POINT CREEK NEAR EDGEWOOD, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.439278,-76.306028,,,,,,http://www.communitywalk.com/map/143898#00044;ZB
,1096339,"PATUXENT RIVER BELOW BRIGHTON DAM NEAR BRIGHTON,MD",,,FALSE,Other Streams,,,,,,,,,,,,39.192194,-77.004389,,,,,,http://www.communitywalk.com/map/143898#00044;ZC
,1096340,"POTOMAC RIVER AT POINT OF ROCKS, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.273583,-77.543111,,,,,,http://www.communitywalk.com/map/143898#00044;ZD
,1096341,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.621806,-78.773417,,,,,,http://www.communitywalk.com/map/143898#00044;ZE
,1096342,"GRAVE RUN NEAR BECKLEYSVILLE, MD",,,FALSE,Other Streams,,,,,,,,,,,,39.654806,-76.780917,,,,,,http://www.communitywalk.com/map/143898#00044;ZF
